"Student Number","Valued Student","Question ID","Answer ID","Submit Date"
12345678,11345678,1,5,2019-09-17
12345678,11345678,2,5,2019-09-17
12345678,11345678,3,5,2019-09-17
12345678,11345678,4,5,2019-09-17
12345678,11345678,5,5,2019-09-17
12345678,11345678,6,5,2019-09-17
12345678,11345678,7,5,2019-09-17
12345678,11345678,8,5,2019-09-17
12345678,13345678,1,2,2019-09-17
12345678,13345678,2,2,2019-09-17
12345678,13345678,3,2,2019-09-17
12345678,13345678,4,2,2019-09-17
12345678,13345678,5,2,2019-09-17
12345678,13345678,6,2,2019-09-17
12345678,13345678,7,2,2019-09-17
12345678,13345678,8,2,2019-09-17
12345678,14345678,1,3,2019-09-17
12345678,14345678,2,3,2019-09-17
12345678,14345678,3,3,2019-09-17
12345678,14345678,4,3,2019-09-17
12345678,14345678,5,3,2019-09-17
12345678,14345678,6,3,2019-09-17
12345678,14345678,7,3,2019-09-17
12345678,14345678,8,3,2019-09-17
12345678,15345678,1,4,2019-09-17
12345678,15345678,2,4,2019-09-17
12345678,15345678,3,4,2019-09-17
12345678,15345678,4,4,2019-09-17
12345678,15345678,5,4,2019-09-17
12345678,15345678,6,4,2019-09-17
12345678,15345678,7,4,2019-09-17
12345678,15345678,8,4,2019-09-17
